title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"My Babysitter's a Vampire",movie,"Adventure, Comedy, Crime",2010,tt1673423,6.1,4367,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Chance,movie,"Comedy, Drama",2009,tt1264879,6.5,457,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Fever",movie,Drama,2004,tt0368725,5.6,1375,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Cinema Verite",movie,Drama,2011,tt1623742,6.5,4072,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Straw Dogs",movie,"Action, Drama, Thriller",2011,tt0999913,5.8,36558,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Great Gatsby",movie,"Drama, Romance",2013,tt1343092,7.2,611627,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Extremely Loud & Incredibly Close",movie,"Adventure, Drama, Mystery",2011,tt0477302,6.9,105973,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"47 Ronin",movie,"Action, Drama, Fantasy",2013,tt1335975,6.2,173864,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"21 Jump Street",movie,"Action, Comedy, Crime",2012,tt1232829,7.2,613196,"FR, MC, US"
"It's Not You, It's Me",movie,"Comedy, Romance",2010,tt1421046,5.7,1120,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Too Big to Fail",movie,"Biography, Drama",2011,tt1742683,7.2,19688,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Green Lantern: Emerald Knights",movie,"Action, Adventure, Animation",2011,tt1683043,6.7,15125,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Good Doctor",movie,"Drama, Mystery, Thriller",2011,tt1582271,5.5,7455,US
